id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,input pressure,40,54,34,24,114,hold,baseline,monotonic-signal
g002,state drift,42,71,43,74,217,ship,edge,drag-penalty
g003,review cost,90,12,28,50,236,ship,recovery,confidence-floor
g004,decision risk,30,55,22,96,263,ship,negative,lane-boundary
g005,input pressure,91,9,20,80,311,ship,baseline,monotonic-signal
g006,state drift,81,23,21,34,211,ship,edge,drag-penalty
g007,review cost,80,68,44,101,342,ship,recovery,confidence-floor
g008,decision risk,83,23,36,53,223,ship,negative,lane-boundary
g009,input pressure,88,38,12,34,258,ship,baseline,monotonic-signal
g010,state drift,94,48,44,29,206,ship,edge,drag-penalty
g011,review cost,100,20,19,74,330,ship,recovery,confidence-floor
g012,decision risk,107,9,29,58,281,ship,negative,lane-boundary
g013,input pressure,70,76,26,54,272,ship,baseline,monotonic-signal
g014,state drift,99,42,36,57,282,ship,edge,drag-penalty
g015,review cost,73,62,42,20,164,ship,recovery,confidence-floor
g016,decision risk,63,40,26,49,212,ship,negative,lane-boundary
g017,input pressure,106,31,19,25,255,ship,baseline,monotonic-signal
g018,state drift,87,29,17,103,375,ship,edge,drag-penalty
g019,review cost,81,31,18,104,365,ship,recovery,confidence-floor
g020,decision risk,81,69,41,23,195,ship,negative,lane-boundary
g021,input pressure,85,56,12,73,348,ship,baseline,monotonic-signal
g022,state drift,46,52,20,49,202,ship,edge,drag-penalty
g023,review cost,74,17,4,95,347,ship,recovery,confidence-floor
g024,decision risk,48,72,19,79,288,ship,negative,lane-boundary
g025,input pressure,82,16,28,33,190,ship,baseline,monotonic-signal
g026,state drift,59,42,13,100,334,ship,edge,drag-penalty
g027,review cost,51,22,7,52,214,ship,recovery,confidence-floor
g028,decision risk,94,50,5,33,294,ship,negative,lane-boundary
g029,input pressure,31,31,6,28,137,watch,baseline,monotonic-signal
g030,state drift,47,59,29,73,241,ship,edge,drag-penalty
g031,review cost,59,76,21,57,266,ship,recovery,confidence-floor
g032,decision risk,81,17,39,53,207,ship,negative,lane-boundary
g033,input pressure,83,60,29,56,280,ship,baseline,monotonic-signal
g034,state drift,43,14,4,105,302,ship,edge,drag-penalty
g035,review cost,71,28,14,48,238,ship,recovery,confidence-floor
g036,decision risk,44,73,11,24,187,ship,negative,lane-boundary
g037,input pressure,34,28,21,102,258,ship,baseline,monotonic-signal
g038,state drift,33,43,27,103,261,ship,edge,drag-penalty
g039,review cost,36,53,11,22,147,watch,recovery,confidence-floor
g040,decision risk,41,25,4,72,243,ship,negative,lane-boundary
g041,input pressure,47,14,44,48,116,watch,baseline,monotonic-signal
g042,state drift,53,11,45,94,215,ship,edge,drag-penalty
g043,review cost,60,47,26,78,271,ship,recovery,confidence-floor
g044,decision risk,111,67,39,32,275,ship,negative,lane-boundary
g045,input pressure,52,45,5,99,337,ship,baseline,monotonic-signal
g046,state drift,114,36,31,51,304,ship,edge,drag-penalty
g047,review cost,104,34,4,32,298,ship,recovery,confidence-floor
g048,decision risk,59,36,13,27,182,ship,negative,lane-boundary
g049,input pressure,40,74,40,72,218,ship,baseline,monotonic-signal
g050,state drift,34,61,34,56,173,ship,edge,drag-penalty
g051,review cost,34,57,32,52,165,ship,recovery,confidence-floor
g052,decision risk,38,22,33,55,142,watch,negative,lane-boundary
g053,input pressure,87,77,14,104,431,ship,baseline,monotonic-signal
g054,state drift,115,21,6,47,333,ship,edge,drag-penalty
g055,review cost,89,47,24,23,223,ship,recovery,confidence-floor
g056,decision risk,35,27,14,101,271,ship,negative,lane-boundary
g057,input pressure,100,55,31,102,397,ship,baseline,monotonic-signal
g058,state drift,92,36,41,21,180,ship,edge,drag-penalty
g059,review cost,47,64,38,71,224,ship,recovery,confidence-floor
g060,decision risk,72,11,6,47,237,ship,negative,lane-boundary
g061,input pressure,88,22,12,93,360,ship,baseline,monotonic-signal
g062,state drift,100,65,38,77,343,ship,edge,drag-penalty
g063,review cost,34,19,31,31,87,hold,recovery,confidence-floor
g064,decision risk,36,33,29,98,243,ship,negative,lane-boundary
g065,input pressure,84,8,30,50,216,ship,baseline,monotonic-signal
g066,state drift,112,33,11,31,297,ship,edge,drag-penalty
g067,review cost,85,48,24,26,222,ship,recovery,confidence-floor
g068,decision risk,75,58,32,71,286,ship,negative,lane-boundary
g069,input pressure,74,30,16,55,256,ship,baseline,monotonic-signal
g070,state drift,77,19,31,51,213,ship,edge,drag-penalty
g071,review cost,82,16,40,54,208,ship,recovery,confidence-floor
g072,decision risk,88,52,25,103,384,ship,negative,lane-boundary
g073,input pressure,94,72,19,46,314,ship,baseline,monotonic-signal
g074,state drift,101,50,17,22,262,ship,edge,drag-penalty
g075,review cost,64,41,18,100,333,ship,recovery,confidence-floor
g076,decision risk,93,39,41,101,345,ship,negative,lane-boundary
g077,input pressure,67,41,33,20,149,watch,baseline,monotonic-signal
g078,state drift,57,9,9,70,245,ship,edge,drag-penalty
g079,review cost,100,66,41,46,276,ship,recovery,confidence-floor
g080,decision risk,81,62,16,92,376,ship,negative,lane-boundary
g081,input pressure,75,27,26,76,277,ship,baseline,monotonic-signal
g082,state drift,75,12,23,30,176,ship,edge,drag-penalty
g083,review cost,79,26,33,97,312,ship,recovery,confidence-floor
g084,decision risk,40,52,39,49,152,watch,negative,lane-boundary
g085,input pressure,68,32,23,30,182,ship,baseline,monotonic-signal
g086,state drift,42,60,16,25,162,ship,edge,drag-penalty
g087,review cost,76,41,14,70,305,ship,recovery,confidence-floor
g088,decision risk,53,69,15,54,253,ship,negative,lane-boundary
g089,input pressure,45,16,38,50,130,watch,baseline,monotonic-signal
g090,state drift,88,27,9,53,291,ship,edge,drag-penalty
g091,review cost,113,70,17,102,466,ship,recovery,confidence-floor
g092,decision risk,41,24,43,45,110,hold,negative,lane-boundary
g093,input pressure,53,38,16,21,154,ship,baseline,monotonic-signal
g094,state drift,75,13,25,99,311,ship,edge,drag-penalty
g095,review cost,77,38,10,100,372,ship,recovery,confidence-floor
g096,decision risk,37,53,4,105,329,ship,negative,lane-boundary
